Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15
2009,115.150066,93.57008909,5.23E+12,0.02762532,0.027625311,0.027625311,0.027625311,0.027625317,0.027625311,0.027625311,0.027625311,0.027625311,0.027625311,0.027625311,0.613245547,0.027625311,0.027625339,0.027625401
2010,111.666587,87.779875,5.70E+12,0.027625324,0.027625315,0.027625315,0.027625315,0.02762532,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.613245487,0.027625315,0.027625343,0.027625404
2011,107.454281,79.80701983,6.16E+12,0.033333335,0.033333354,0.533333182,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2012,104.273972,79.79045542,6.20E+12,0.033333335,0.033333354,0.533333242,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2013,101.302673,97.59565828,5.16E+12,0.033333361,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333693,0.033333335,0.033333339,0.533332944
2014,103.052076,105.944781,4.85E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2015,103.469437,121.0440257,4.39E+12,0.033333335,0.033333331,0.033333331,0.033333331,0.033333343,0.033333331,0.033333331,0.033333331,0.033333331,0.033333331,0.033333331,0.533333123,0.033333331,0.033333402,0.033333436
2016,105.519502,108.7929,4.92E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2017,105.101901,112.1661411,4.87E+12,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
2018,103.706485,110.4231793,4.95E+12,0.02441136,0.024411395,0.024411349,0.227342308,0.024411354,0.024411349,0.024411397,0.024411365,0.024411349,0.02441136,0.024411349,0.455309927,0.024411371,0.024411378,0.024411436
