Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15
2009,3.151181,6.831416052,5.10E+12,0.02762532,0.027625311,0.027625311,0.027625311,0.027625317,0.027625311,0.027625311,0.027625311,0.027625311,0.027625311,0.027625311,0.613245547,0.027625311,0.027625339,0.027625401
2010,3.329232,6.770269029,6.09E+12,0.027625324,0.027625315,0.027625315,0.027625315,0.02762532,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.613245487,0.027625315,0.027625343,0.027625404
2011,3.524468,6.461461327,7.55E+12,0.033333335,0.033333354,0.533333182,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2012,3.560968,6.312332827,8.53E+12,0.033333335,0.033333354,0.533333242,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2013,3.663645,6.195758346,9.57E+12,0.033333361,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333693,0.033333335,0.033333339,0.533332944
2014,3.75885,6.143434094,1.05E+13,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2015,3.870697,6.227488673,1.11E+13,0.033333335,0.033333331,0.033333331,0.033333331,0.033333343,0.033333331,0.033333331,0.033333331,0.033333331,0.033333331,0.033333331,0.533333123,0.033333331,0.033333402,0.033333436
2016,3.988837,6.644477829,1.12E+13,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2017,4.183811,6.758755086,1.23E+13,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
2018,4.227258,6.615957177,1.39E+13,0.02441136,0.024411395,0.024411349,0.227342308,0.024411354,0.024411349,0.024411397,0.024411365,0.024411349,0.02441136,0.024411349,0.455309927,0.024411371,0.024411378,0.024411436
