Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15
2009,1.201369,1.141535406,1.37E+12,0.02762532,0.027625311,0.027625311,0.027625311,0.027625317,0.027625311,0.027625311,0.027625311,0.027625311,0.027625311,0.027625311,0.613245547,0.027625311,0.027625339,0.027625401
2010,1.221371,1.030112735,1.61E+12,0.027625324,0.027625315,0.027625315,0.027625315,0.02762532,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.027625315,0.613245487,0.027625315,0.027625343,0.027625404
2011,1.239904,0.989258159,1.79E+12,0.033333335,0.033333354,0.533333182,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2012,1.244607,0.999364744,1.83E+12,0.033333335,0.033333354,0.533333242,0.033333335,0.033333339,0.033333335,0.033333391,0.033333335,0.033333335,0.033333335,0.033333335,0.033333339,0.033333354,0.033333335,0.033333339
2013,1.224,1.030137364,1.85E+12,0.033333361,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333335,0.033333693,0.033333335,0.033333339,0.533332944
2014,1.230358,1.104747132,1.80E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2015,1.248042,1.278786204,1.56E+12,0.033333335,0.033333331,0.033333331,0.033333331,0.033333343,0.033333331,0.033333331,0.033333331,0.033333331,0.033333331,0.033333331,0.533333123,0.033333331,0.033333402,0.033333436
2016,1.207045,1.325615164,1.53E+12,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667,0.06666667
2017,1.212304,1.297935846,1.65E+12,0.033333335,0.03333338,0.033333335,0.533333182,0.033333335,0.033333335,0.03333338,0.03333335,0.033333335,0.033333343,0.033333335,0.033333335,0.033333354,0.033333339,0.033333335
2018,1.198165,1.295817928,1.72E+12,0.02441136,0.024411395,0.024411349,0.227342308,0.024411354,0.024411349,0.024411397,0.024411365,0.024411349,0.02441136,0.024411349,0.455309927,0.024411371,0.024411378,0.024411436
