Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20
2005,2.842933,8.194316667,2.29E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025
2006,2.867778,7.973438333,2.75E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
2007,3.009186,7.6075325,3.55E+12,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2008,3.181871,6.948655,4.59E+12,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2009,3.151181,6.831416052,5.10E+12,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.30268988,0.020718984,0.020718984,0.020718984,0.324368417,0.020718984,0.020718984,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984
2010,3.329232,6.770269029,6.09E+12,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.30268985,0.020718984,0.020718984,0.020718984,0.324368417,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984
2011,3.524468,6.461461327,7.55E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000002,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025
2012,3.560968,6.312332827,8.53E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025000002,0.025,0.025,0.025,0.025
2013,3.663645,6.195758346,9.57E+12,0.025,0.025,0.025,0.025,0.025,0.525000036,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2014,3.75885,6.143434094,1.05E+13,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
2015,3.870697,6.227488673,1.11E+13,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2016,3.988837,6.644477829,1.12E+13,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
2017,4.183811,6.758755086,1.23E+13,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2018,4.227258,6.615957177,1.39E+13,0.018308511,0.018308513,0.224305928,0.018308513,0.018308511,0.224305928,0.018308511,0.018308511,0.018308511,0.240143478,0.018308513,0.018308511,0.018308513,0.018308511,0.018308511,0.018308511,0.018308511,0.018308511,0.018308511,0.018308511
