Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20
2005,129.551955,110.2182117,4.76E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025
2006,124.536829,116.2993117,4.53E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
2007,120.394201,117.7535292,4.52E+12,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2008,116.845814,103.359494,5.04E+12,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2009,115.150066,93.57008909,5.23E+12,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.30268988,0.020718984,0.020718984,0.020718984,0.324368417,0.020718984,0.020718984,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984
2010,111.666587,87.779875,5.70E+12,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.30268985,0.020718984,0.020718984,0.020718984,0.324368417,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984
2011,107.454281,79.80701983,6.16E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000002,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025
2012,104.273972,79.79045542,6.20E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025000002,0.025,0.025,0.025,0.025
2013,101.302673,97.59565828,5.16E+12,0.025,0.025,0.025,0.025,0.025,0.525000036,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2014,103.052076,105.944781,4.85E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
2015,103.469437,121.0440257,4.39E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2016,105.519502,108.7929,4.92E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
2017,105.101901,112.1661411,4.87E+12,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2018,103.706485,110.4231793,4.95E+12,0.018308511,0.018308513,0.224305928,0.018308513,0.018308511,0.224305928,0.018308511,0.018308511,0.018308511,0.240143478,0.018308513,0.018308511,0.018308513,0.018308511,0.018308511,0.018308511,0.018308511,0.018308511,0.018308511,0.018308511
