Year,PPP,Exchange,GDP,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20
2008,1.23439,1.067086918,1.55E+12,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2009,1.201369,1.141535406,1.37E+12,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.30268988,0.020718984,0.020718984,0.020718984,0.324368417,0.020718984,0.020718984,0.020718986,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984
2010,1.221371,1.030112735,1.61E+12,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.30268985,0.020718984,0.020718984,0.020718984,0.324368417,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984,0.020718984
2011,1.239904,0.989258159,1.79E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025000002,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025
2012,1.244607,0.999364744,1.83E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025000002,0.025,0.025,0.025,0.025
2013,1.224,1.030137364,1.85E+12,0.025,0.025,0.025,0.025,0.025,0.525000036,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2014,1.230358,1.104747132,1.80E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
2015,1.248042,1.278786204,1.56E+12,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2016,1.207045,1.325615164,1.53E+12,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001,0.050000001
2017,1.212304,1.297935846,1.65E+12,0.025,0.025,0.524999976,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
2018,1.198165,1.295817928,1.72E+12,0.018308511,0.018308513,0.224305928,0.018308513,0.018308511,0.224305928,0.018308511,0.018308511,0.018308511,0.240143478,0.018308513,0.018308511,0.018308513,0.018308511,0.018308511,0.018308511,0.018308511,0.018308511,0.018308511,0.018308511
